"date","GDP","GDPC1","USREC"
1947-01-01,243.164,2034.45,0
1947-04-01,245.968,2029.024,0
1947-07-01,249.585,2024.834,0
1947-10-01,259.745,2056.508,0
1948-01-01,265.742,2087.442,0
1948-04-01,272.567,2121.899,0
1948-07-01,279.196,2134.056,0
1948-10-01,280.366,2136.44,0
1949-01-01,275.034,2107.001,1
1949-04-01,271.351,2099.814,1
1949-07-01,272.889,2121.493,1
1949-10-01,270.627,2103.688,0
1950-01-01,280.828,2186.365,0
1950-04-01,290.383,2253.045,0
1950-07-01,308.153,2340.112,0
1950-10-01,319.945,2384.92,0
1951-01-01,336,2417.311,0
1951-04-01,344.09,2459.196,0
1951-07-01,351.385,2509.88,0
1951-10-01,356.178,2515.408,0
1952-01-01,359.82,2542.286,0
1952-04-01,361.03,2547.762,0
1952-07-01,367.701,2566.153,0
1952-10-01,380.812,2650.431,0
1953-01-01,387.98,2699.699,0
1953-04-01,391.749,2720.566,0
1953-07-01,391.171,2705.258,1
1953-10-01,385.97,2664.302,1
1954-01-01,385.345,2651.566,1
1954-04-01,386.121,2654.456,1
1954-07-01,390.996,2684.434,0
1954-10-01,399.734,2736.96,0
1955-01-01,413.073,2815.134,0
1955-04-01,421.532,2860.942,0
1955-07-01,430.221,2899.578,0
1955-10-01,437.092,2916.985,0
1956-01-01,439.746,2905.656,0
1956-04-01,446.01,2929.666,0
1956-07-01,451.191,2927.034,0
1956-10-01,460.463,2975.209,0
1957-01-01,469.779,2994.259,0
1957-04-01,472.025,2987.699,0
1957-07-01,479.49,3016.979,0
1957-10-01,474.864,2985.775,1
1958-01-01,467.54,2908.281,1
1958-04-01,471.978,2927.395,0
1958-07-01,485.841,2995.112,0
1958-10-01,499.555,3065.141,0
1959-01-01,510.33,3123.978,0
1959-04-01,522.653,3194.429,0
1959-07-01,525.034,3196.683,0
1959-10-01,528.6,3205.79,0
1960-01-01,542.648,3277.847,0
1960-04-01,541.08,3260.177,1
1960-07-01,545.604,3276.133,1
1960-10-01,540.197,3234.087,1
1961-01-01,545.018,3255.914,1
1961-04-01,555.545,3311.181,0
1961-07-01,567.664,3374.742,0
1961-10-01,580.612,3440.924,0
1962-01-01,594.013,3502.298,0
1962-04-01,600.366,3533.947,0
1962-07-01,609.027,3577.362,0
1962-10-01,612.28,3589.128,0
1963-01-01,621.672,3628.306,0
1963-04-01,629.752,3669.02,0
1963-07-01,644.444,3749.681,0
1963-10-01,653.938,3774.264,0
1964-01-01,669.822,3853.835,0
1964-04-01,678.674,3895.793,0
1964-07-01,692.031,3956.657,0
1964-10-01,697.319,3968.878,0
1965-01-01,717.79,4064.915,0
1965-04-01,730.191,4116.267,0
1965-07-01,749.323,4207.782,0
1965-10-01,771.857,4304.731,0
1966-01-01,795.734,4409.518,0
1966-04-01,804.981,4424.581,0
1966-07-01,819.638,4462.053,0
1966-10-01,833.302,4498.66,0
1967-01-01,844.17,4538.498,0
1967-04-01,848.983,4541.28,0
1967-07-01,865.233,4584.246,0
1967-10-01,881.439,4618.812,0
1968-01-01,909.387,4713.013,0
1968-04-01,934.344,4791.758,0
1968-07-01,950.825,4828.892,0
1968-10-01,968.03,4847.885,0
1969-01-01,993.337,4923.76,0
1969-04-01,1009.02,4938.728,0
1969-07-01,1029.956,4971.349,0
1969-10-01,1038.147,4947.104,0
1970-01-01,1051.2,4939.759,1
1970-04-01,1067.375,4946.77,1
1970-07-01,1086.059,4992.357,1
1970-10-01,1088.608,4938.857,1
1971-01-01,1135.156,5072.996,0
1971-04-01,1156.271,5100.447,0
1971-07-01,1177.675,5142.422,0
1971-10-01,1190.297,5154.547,0
1972-01-01,1230.609,5249.337,0
